Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Enzo Fernández,ARG,MF,Chelsea,23,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8.0,52,210,54,0.12,0.08,0.20,0.08,0.16,0.25,0.14,0.39,0.19,0.33
John Fleck,SCO,MF,Sheffield Utd,32,1991,4,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44
Mark Flekken,NED,GK,Brentford,30,1993,34,34,3015,33.5,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0,4,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
Phil Foden,ENG,FW,Manchester City,23,2000,31,29,2518,28.0,16,7,23,16,0,0,1,0,9.3,9.3,7.6,16.9,89,151,246,0.57,0.25,0.82,0.57,0.82,0.33,0.27,0.60,0.33,0.60
Wes Foderingham,ENG,GK,Sheffield Utd,33,1991,27,26,2379,26.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pablo Fornals,ESP,MF,West Ham,28,1996,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.13,0.07,0.13
Omari Forson,ENG,FW,Manchester Utd,19,2004,3,1,66,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,2,0.00,1.36,1.36,0.00,1.36,0.04,0.24,0.28,0.04,0.28
Lyle Foster,RSA,FW,Burnley,23,2000,21,19,1639,18.2,5,3,8,5,0,0,0,1,3.9,3.9,1.7,5.6,49,30,92,0.27,0.16,0.44,0.27,0.44,0.21,0.09,0.31,0.21,0.31
Matheus França,BRA,MF,Crystal Palace,20,2004,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0.00,0.39,0.39,0.00,0.39,0.14,0.34,0.48,0.14,0.48
Nathan Fraser,IRL,FW,Wolves,19,2005,7,1,186,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,2,21,0.00,0.00,0.00,0.00,0.00,0.16,0.04,0.19,0.16,0.19
Cody Gakpo,NED,FW,Liverpool,24,1999,32,14,1405,15.6,6,4,10,6,0,0,1,0,6.9,6.9,2.0,8.9,38,71,108,0.38,0.26,0.64,0.38,0.64,0.44,0.13,0.57,0.44,0.57
Conor Gallagher,ENG,MF,Chelsea,24,2000,32,32,2691,29.9,4,6,10,4,0,0,8,1,3.1,3.1,4.8,7.9,56,152,113,0.13,0.20,0.33,0.13,0.33,0.10,0.16,0.26,0.10,0.26
Idrissa Gana Gueye,SEN,MF,Everton,34,1989,22,21,1625,18.1,3,0,3,3,0,0,7,0,1.2,1.2,0.8,2.0,25,69,35,0.17,0.00,0.17,0.17,0.17,0.07,0.04,0.11,0.07,0.11
Alejandro Garnacho,ARG,FW,Manchester Utd,19,2004,32,26,2213,24.6,7,4,11,7,0,0,4,0,7.6,7.6,5.0,12.6,150,58,242,0.28,0.16,0.45,0.28,0.45,0.31,0.20,0.51,0.31,0.51
James Garner,ENG,MF,Everton,23,2001,34,31,2770,30.8,1,2,3,1,0,0,6,0,2.3,2.3,4.4,6.7,32,93,66,0.03,0.06,0.10,0.03,0.10,0.08,0.14,0.22,0.08,0.22
Saman Ghoddos,IRN,DF,Brentford,30,1993,18,7,711,7.9,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,21,33,31,0.13,0.00,0.13,0.13,0.13,0.04,0.14,0.18,0.04,0.18
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,2000,34,32,2886,32.1,5,7,12,4,1,1,9,0,6.3,5.6,7.2,12.8,70,152,164,0.16,0.22,0.37,0.12,0.34,0.20,0.23,0.42,0.17,0.40
Bryan Gil,ESP,FW,Tottenham,23,2001,10,2,196,2.2,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,9,11,42,0.00,0.00,0.00,0.00,0.00,0.33,0.06,0.39,0.33,0.39
Alfie Gilchrist,ENG,DF,Chelsea,20,2003,9,1,121,1.3,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,4,4,0.74,0.00,0.74,0.74,0.74,0.15,0.00,0.15,0.15,0.15
Billy Gilmour,SCO,MF,Brighton,22,2001,26,21,1868,20.8,0,1,1,0,0,0,6,1,0.9,0.9,2.0,3.0,35,178,33,0.00,0.05,0.05,0.00,0.05,0.04,0.10,0.14,0.04,0.14
Ben Godfrey,ENG,DF,Everton,26,1998,14,12,1030,11.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2.0,11,39,26,0.00,0.00,0.00,0.00,0.00,0.15,0.02,0.17,0.15,0.17
André Gomes,POR,MF,Everton,30,1993,10,3,450,5.0,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.7,7,35,27,0.20,0.00,0.20,0.20,0.20,0.06,0.08,0.14,0.06,0.14
