Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Angel Gomes,ENG,MF,Lille,23,2000,28,26,2321,25.8,0,6,6,0,0,0,4,0,1.9,1.9,5.0,6.8,43,185,63,0.00,0.23,0.23,0.00,0.23,0.07,0.19,0.27,0.07,0.27
Maxime Gonalons,FRA,MF,Clermont Foot,35,1989,21,17,1296,14.4,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.6,8,81,10,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
Mathieu Gorgelin,FRA,GK,Le Havre,33,1990,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amine Gouiri,ALG,FW,Rennes,24,2000,28,21,1874,20.8,6,3,9,6,0,0,2,0,6.4,6.4,1.4,7.8,55,76,171,0.29,0.14,0.43,0.29,0.43,0.31,0.07,0.38,0.31,0.38
Jonathan Gradit,FRA,DF,Lens,31,1992,23,23,1842,20.5,1,0,1,1,0,0,9,1,0.3,0.3,0.1,0.4,18,148,4,0.05,0.00,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.02
Samuel Grandsir,FRA,MF,Le Havre,27,1996,20,4,562,6.2,1,0,1,1,0,1,4,2,2.3,1.5,1.0,2.6,20,29,65,0.16,0.00,0.16,0.16,0.16,0.37,0.17,0.54,0.25,0.41
Adrian Grbić,AUT,FW,Lorient,27,1996,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
Gabriel Gudmundsson,SWE,DF,Lille,25,1999,22,13,1180,13.1,1,0,1,1,0,0,2,0,1.1,1.1,1.0,2.1,33,36,61,0.08,0.00,0.08,0.08,0.08,0.08,0.08,0.16,0.08,0.16
Axel Gueguin,FRA,DF,Montpellier,19,2005,3,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Mattéo Guendouzi,FRA,MF,Marseille,25,1999,2,0,19,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,1,1,0.00,0.00,0.00,0.00,0.00,2.59,0.00,2.59,2.59,2.59
