Player,Nation,Age,MP,Starts,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Performance_rating
Willian,BRA,35.0,29,22,21.6,0.19,0.09,0.28,0.09,0.19,0.24,0.18,0.42,0.16,0.35,0.0,0.05,8.29,4.12,6.94,0.98
Harry Wilson,WAL,27.0,32,15,16.8,0.18,0.24,0.42,0.18,0.42,0.19,0.18,0.37,0.19,0.37,0.0,0.36,7.32,2.14,3.27,1.08
Yoane Wissa,COD,27.0,31,28,26.2,0.38,0.04,0.42,0.38,0.42,0.39,0.13,0.51,0.39,0.51,0.0,0.23,5.31,1.6,1.68,1.41
Chris Wood,NZL,32.0,28,17,17.3,0.69,0.06,0.75,0.69,0.75,0.53,0.12,0.65,0.53,0.65,0.0,0.0,3.64,0.81,1.56,2.94
Akor Adams,NGA,24.0,29,25,23.1,0.35,0.04,0.39,0.35,0.39,0.53,0.08,0.6,0.53,0.6,0.0,0.09,5.28,1.69,0.69,1.43
Pierre-Emerick Aubameyang,GAB,34.0,31,27,26.1,0.54,0.31,0.84,0.42,0.73,0.69,0.21,0.9,0.59,0.81,0.0,0.11,7.82,2.41,2.03,2.98
Dilane Bakwa,FRA,21.0,29,23,22.3,0.13,0.22,0.36,0.13,0.36,0.14,0.24,0.38,0.14,0.38,0.04,0.18,8.12,3.68,3.63,0.88
Folarin Balogun,USA,22.0,26,18,17.1,0.41,0.23,0.64,0.41,0.64,0.6,0.16,0.75,0.45,0.61,0.0,0.06,10.64,2.05,1.64,2.27
Wissam Ben Yedder,FRA,33.0,29,23,22.7,0.57,0.04,0.62,0.53,0.57,0.45,0.14,0.58,0.41,0.55,0.0,0.09,8.9,1.98,3.52,2.31
Ludovic Blas,FRA,26.0,27,18,16.9,0.24,0.06,0.3,0.18,0.24,0.27,0.08,0.36,0.18,0.26,0.0,0.18,8.76,2.6,3.37,0.96
Jeremie Boga,CIV,27.0,25,21,19.4,0.26,0.21,0.46,0.26,0.46,0.18,0.18,0.36,0.18,0.36,0.0,0.05,7.58,4.9,2.89,1.62
Josué Casimir,FRA,22.0,27,22,19.9,0.0,0.15,0.15,0.0,0.15,0.08,0.17,0.26,0.08,0.26,0.0,0.3,6.38,2.56,3.07,0.15
Rayan Cherki,FRA,20.0,30,17,17.3,0.06,0.29,0.35,0.06,0.35,0.26,0.24,0.5,0.26,0.5,0.0,0.0,9.48,4.74,7.11,1.11
Thijs Dallinga,NED,23.0,30,25,25.0,0.48,0.08,0.56,0.44,0.52,0.52,0.04,0.56,0.42,0.46,0.0,0.24,6.0,1.2,1.32,1.92
Mohammed Daramy,DEN,22.0,25,19,18.3,0.22,0.27,0.49,0.16,0.44,0.25,0.13,0.38,0.21,0.34,0.0,0.0,8.85,3.93,3.77,1.69
Jonathan David,CAN,24.0,31,27,26.2,0.65,0.11,0.76,0.57,0.69,0.61,0.12,0.73,0.51,0.64,0.0,0.15,7.06,1.76,2.71,2.78
Romain Del Castillo,FRA,28.0,31,29,27.2,0.29,0.29,0.59,0.18,0.48,0.19,0.35,0.54,0.11,0.46,0.0,0.15,10.22,3.6,5.51,1.88
Aron Dønnum,NOR,26.0,25,18,16.8,0.0,0.06,0.06,0.0,0.06,0.06,0.12,0.18,0.06,0.18,0.0,0.48,6.73,3.81,3.81,-0.3
Emanuel Emegha,NED,21.0,25,20,20.1,0.35,0.05,0.4,0.35,0.4,0.44,0.02,0.45,0.44,0.45,0.0,0.15,4.58,1.19,0.45,1.4
