Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Lorenzo Colombo,ITA,FW,Monza,22.0,2002,15.1,1.13,0.79,0.20,0.60,0.33,0.53,0.93,57.1,0.40,1.19,0.33,0.86,0.00,1.13,0.93,0.00
Andrea Colpani,ITA,MF,Monza,24.0,1999,26.1,0.84,0.54,0.19,0.46,0.19,0.34,0.57,60.0,0.23,0.42,0.15,0.27,0.54,1.38,0.50,0.00
Pietro Comuzzo,ITA,DF,Fiorentina,19.0,2005,0.5,2.00,2.00,2.00,0.00,0.00,2.00,2.00,100.0,0.00,2.00,0.00,2.00,2.00,4.00,4.00,0.00
Andrea Consigli,ITA,GK,Sassuolo,37.0,1987,32.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.03,0.00,0.03,0.03,0.03,0.59,0.03
Nikita Contini Baranovsky,ITA,GK,Napoli,27.0,1996,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00
Diego Coppola,ITA,DF,Hellas Verona,20.0,2003,14.2,2.25,1.41,1.55,0.56,0.14,1.20,1.97,60.7,0.77,1.34,0.49,0.85,1.41,3.66,5.28,0.07
Tommaso Corazza,ITA,DF,Bologna,19.0,2004,2.1,4.29,1.90,3.81,0.48,0.00,1.90,4.29,44.4,2.38,0.95,0.00,0.95,2.38,6.67,1.43,0.00
Jeppe Corfitzen,DEN,FW,Lecce,19.0,2004,0.1,10.0,0.00,0.00,10.0,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00
Giacomo Corona,ITA,FW,Empoli,20.0,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Costa,BRA,MF,Roma,19.0,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benoît Costil,FRA,GK,Salernitana,36.0,1987,13.0,0.15,0.08,0.08,0.08,0.00,0.15,0.23,66.7,0.08,0.00,0.00,0.00,0.00,0.15,0.38,0.08
Lassana Coulibaly,MLI,MF,Salernitana,28.0,1996,19.6,1.99,1.43,0.82,0.87,0.31,0.97,2.04,47.5,1.07,1.02,0.20,0.82,0.71,2.70,1.33,0.00
Mamadou Coulibaly,SEN,DF,Salernitana,25.0,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alessio Cragno,ITA,GK,Sassuolo,29.0,1994,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00
